Year;Month;Day;Hour;sol_rad;prcp
2018;1;7;19;33.77;0.0
2018;1;7;20;0.0;0.0
2018;1;7;21;0.0;0.0
2018;1;7;22;0.0;0.0
2018;1;7;23;0.0;0.0
2018;1;8;0;0.0;0.0
2018;1;8;1;0.0;0.0
2018;1;8;2;0.0;0.0
2018;1;8;3;0.0;0.0
2018;1;8;4;0.0;0.0
2018;1;8;5;0.0;0.0
2018;1;8;6;31.42;0.0
2018;1;8;7;126.42;0.0
2018;1;8;8;229.42;0.0
2018;1;8;9;322.92;0.0
2018;1;8;10;403.3;0.0
2018;1;8;11;456.35;0.0
2018;1;8;12;483.0;0.0
2018;1;8;13;482.38;0.0
2018;1;8;14;457.23;0.0
2018;1;8;15;399.5;0.0
2018;1;8;16;321.5;0.0
2018;1;8;17;227.17;0.0
2018;1;8;18;126.42;0.0
2018;1;8;19;32.45;0.0
2018;1;8;20;0.0;0.0
2018;1;8;21;0.0;0.0
2018;1;8;22;0.0;0.0
2018;1;8;23;0.0;0.0
2018;1;9;0;0.0;0.0
2018;1;9;1;0.0;0.0
2018;1;9;2;0.0;0.0
2018;1;9;3;0.0;0.0
2018;1;9;4;0.0;0.0
2018;1;9;5;0.0;0.0
2018;1;9;6;29.9;0.0
2018;1;9;7;126.33;0.0
2018;1;9;8;229.1;0.0
2018;1;9;9;323.4;0.0
2018;1;9;10;401.88;0.0
2018;1;9;11;456.75;0.0
2018;1;9;12;488.38;0.0
2018;1;9;13;489.67;0.0
2018;1;9;14;460.1;0.0
2018;1;9;15;343.52;0.0
2018;1;9;16;328.95;0.0
2018;1;9;17;236.85;0.0
2018;1;9;18;134.35;0.0
2018;1;9;19;36.12;0.0
2018;1;9;20;0.0;0.0
2018;1;9;21;0.0;0.0
2018;1;9;22;0.0;0.0
2018;1;9;23;0.0;0.0
2018;1;10;0;0.0;0.0
2018;1;10;1;0.0;0.0
2018;1;10;2;0.0;0.0
2018;1;10;3;0.0;0.0
2018;1;10;4;0.0;0.0
2018;1;10;5;0.0;0.0
2018;1;10;6;27.65;0.0
2018;1;10;7;119.83;0.0
2018;1;10;8;224.1;0.0
2018;1;10;9;319.4;0.0
2018;1;10;10;398.55;0.0
2018;1;10;11;454.33;0.0
2018;1;10;12;476.25;0.0
2018;1;10;13;467.75;0.0
2018;1;10;14;435.25;0.0
2018;1;10;15;383.15;0.0
2018;1;10;16;304.9;0.0
2018;1;10;17;210.27;0.0
2018;1;10;18;114.3;0.0
2018;1;10;19;29.08;0.0
2018;1;10;20;0.0;0.0
2018;1;10;21;0.0;0.0
2018;1;10;22;0.0;0.0
2018;1;10;23;0.0;0.0
2018;1;11;0;0.0;0.0
2018;1;11;1;0.0;0.0
2018;1;11;2;0.0;0.0
2018;1;11;3;0.0;0.0
2018;1;11;4;0.0;0.0
2018;1;11;5;0.0;0.0
2018;1;11;6;25.8;0.0
2018;1;11;7;115.42;0.0
2018;1;11;8;216.17;0.0
2018;1;11;9;311.17;0.0
2018;1;11;10;390.42;0.0
2018;1;11;11;434.75;0.0
2018;1;11;12;456.88;0.0
2018;1;11;13;438.0;0.0
2018;1;11;14;411.48;0.0
2018;1;11;15;339.88;0.0
2018;1;11;16;262.17;0.0
2018;1;11;17;176.33;0.0
2018;1;11;18;82.85;0.0
2018;1;11;19;21.27;0.0
2018;1;11;20;0.0;0.0
2018;1;11;21;0.0;0.0
2018;1;11;22;0.0;0.0
2018;1;11;23;0.0;0.0
2018;1;12;0;0.0;0.0
2018;1;12;1;0.0;0.0
2018;1;12;2;0.0;0.0
2018;1;12;3;0.0;0.03
2018;1;12;4;0.0;0.04
2018;1;12;5;0.0;0.04
2018;1;12;6;15.02;0.05
2018;1;12;7;63.15;0.06
2018;1;12;8;123.73;0.08
2018;1;12;9;175.42;0.24
2018;1;12;10;262.48;0.19
2018;1;12;11;292.27;0.22
2018;1;12;12;134.25;0.16
2018;1;12;13;186.77;0.12
2018;1;12;14;319.23;0.13
2018;1;12;15;177.1;0.23
2018;1;12;16;124.25;0.45
2018;1;12;17;79.55;0.5
2018;1;12;18;61.4;0.19
2018;1;12;19;18.85;0.12
2018;1;12;20;0.0;0.25
2018;1;12;21;0.0;0.47
2018;1;12;22;0.0;0.17
2018;1;12;23;0.0;0.21
2018;1;13;0;0.0;0.16
2018;1;13;1;0.0;0.15
2018;1;13;2;0.0;0.13
2018;1;13;3;0.0;0.11
2018;1;13;4;0.0;0.08
2018;1;13;5;0.0;0.16
2018;1;13;6;17.9;0.1
2018;1;13;7;75.25;0.06
2018;1;13;8;165.33;0.07
2018;1;13;9;240.5;0.11
2018;1;13;10;288.58;0.09
2018;1;13;11;360.98;0.08
2018;1;13;12;385.77;0.09
2018;1;13;13;368.88;0.11
2018;1;13;14;315.27;0.15
2018;1;13;15;258.52;0.2
2018;1;13;16;177.02;0.19
2018;1;13;17;105.1;0.13
2018;1;13;18;53.2;0.14
2018;1;13;19;17.1;0.19
2018;1;13;20;0.0;0.35
2018;1;13;21;0.0;0.51
2018;1;13;22;0.0;0.42
2018;1;13;23;0.0;0.42
2018;1;14;0;0.0;0.41
2018;1;14;1;0.0;0.23
2018;1;14;2;0.0;0.52
2018;1;14;3;0.0;1.15
2018;1;14;4;0.0;1.7
2018;1;14;5;0.0;1.81
2018;1;14;6;9.3;1.31
2018;1;14;7;17.42;0.95
2018;1;14;8;43.95;1.05
2018;1;14;9;72.25;1.7
2018;1;14;10;101.85;0.94
2018;1;14;11;144.52;0.84
2018;1;14;12;145.9;1.22
2018;1;14;13;135.5;0.7
2018;1;14;14;128.2;0.89
2018;1;14;15;182.58;1.55
2018;1;14;16;116.85;1.04
2018;1;14;17;65.6;0.37
2018;1;14;18;32.15;0.11
2018;1;14;19;22.3;0.07
2018;1;14;20;0.0;0.06
2018;1;14;21;0.0;0.04
2018;1;14;22;0.0;0.03
2018;1;14;23;0.0;0.02
2018;1;15;0;0.0;0.02
2018;1;15;1;0.0;0.02
2018;1;15;2;0.0;0.02
2018;1;15;3;0.0;0.02
2018;1;15;4;0.0;0.01
2018;1;15;5;0.0;0.01
2018;1;15;6;22.58;0.02
2018;1;15;7;60.83;0.04
2018;1;15;8;133.02;0.03
2018;1;15;9;275.17;0.0
2018;1;15;10;388.2;0.0
2018;1;15;11;447.98;0.0
2018;1;15;12;474.7;0.0
2018;1;15;13;459.92;0.0
2018;1;15;14;408.45;0.0
2018;1;15;15;373.23;0.0
2018;1;15;16;302.8;0.0
2018;1;15;17;216.95;0.0
2018;1;15;18;128.55;0.0
2018;1;15;19;32.62;0.0
2018;1;15;20;0.0;0.0
2018;1;15;21;0.0;0.0
2018;1;15;22;0.0;0.0
2018;1;15;23;0.0;0.0
2018;1;16;0;0.0;0.0
2018;1;16;1;0.0;0.0
2018;1;16;2;0.0;0.0
2018;1;16;3;0.0;0.0
2018;1;16;4;0.0;0.0
2018;1;16;5;0.0;0.0
2018;1;16;6;23.02;0.0
2018;1;16;7;115.7;0.0
2018;1;16;8;198.25;0.0
2018;1;16;9;284.17;0.0
2018;1;16;10;339.75;0.0
2018;1;16;11;403.35;0.0
2018;1;16;12;441.7;0.0
2018;1;16;13;448.73;0.0
2018;1;16;14;416.77;0.0
2018;1;16;15;385.38;0.0
2018;1;16;16;306.2;0.0
2018;1;16;17;204.35;0.0
2018;1;16;18;113.17;0.0
2018;1;16;19;27.88;0.0
2018;1;16;20;0.0;0.0
2018;1;16;21;0.0;0.0
2018;1;16;22;0.0;0.0
2018;1;16;23;0.0;0.0
2018;1;17;0;0.0;0.0
2018;1;17;1;0.0;0.0
2018;1;17;2;0.0;0.0
2018;1;17;3;0.0;0.0
2018;1;17;4;0.0;0.0
2018;1;17;5;0.0;0.0
2018;1;17;6;13.95;0.0
2018;1;17;7;65.52;0.0
2018;1;17;8;128.55;0.0
2018;1;17;9;197.58;0.02
2018;1;17;10;273.85;0.02
2018;1;17;11;278.9;0.02
2018;1;17;12;263.62;0.08
2018;1;17;13;160.9;0.02
2018;1;17;14;80.15;0.05
2018;1;17;15;69.15;0.29
2018;1;17;16;68.7;0.99
2018;1;17;17;57.85;0.65
2018;1;17;18;37.73;0.12
2018;1;17;19;15.08;0.01
2018;1;17;20;0.0;0.0
2018;1;17;21;0.0;0.0
2018;1;17;22;0.0;0.0
2018;1;17;23;0.0;0.01
2018;1;18;0;0.0;0.01
2018;1;18;1;0.0;0.0
2018;1;18;2;0.0;0.0
2018;1;18;3;0.0;0.0
2018;1;18;4;0.0;0.0
2018;1;18;5;0.0;0.0
2018;1;18;6;19.8;0.0
2018;1;18;7;110.7;0.0
2018;1;18;8;213.95;0.0
2018;1;18;9;310.65;0.07
2018;1;18;10;391.9;0.24
2018;1;18;11;444.12;0.3
2018;1;18;12;482.48;0.14
2018;1;18;13;476.1;0.03
2018;1;18;14;418.5;0.0
2018;1;18;15;298.75;0.0
2018;1;18;16;282.0;0.0
2018;1;18;17;188.42;0.0
2018;1;18;18;101.0;0.0
2018;1;18;19;28.38;0.0
2018;1;18;20;0.0;0.0
2018;1;18;21;0.0;0.0
2018;1;18;22;0.0;0.0
2018;1;18;23;0.0;0.0
2018;1;19;0;0.0;0.0
2018;1;19;1;0.0;0.02
2018;1;19;2;0.0;0.95
2018;1;19;3;0.0;0.22
2018;1;19;4;0.0;0.01
2018;1;19;5;0.0;0.0
2018;1;19;6;19.35;0.01
2018;1;19;7;108.83;0.09
2018;1;19;8;214.42;0.03
2018;1;19;9;309.1;0.0
2018;1;19;10;392.08;0.0
2018;1;19;11;448.38;0.0
2018;1;19;12;482.75;0.0
2018;1;19;13;483.92;0.0
2018;1;19;14;453.65;0.0
2018;1;19;15;402.95;0.0
2018;1;19;16;324.1;0.0
2018;1;19;17;227.6;0.0
2018;1;19;18;129.12;0.0
2018;1;19;19;31.55;0.0
2018;1;19;20;0.0;0.0
2018;1;19;21;0.0;0.0
2018;1;19;22;0.0;0.0
2018;1;19;23;0.0;0.0
2018;1;20;0;0.0;0.0
2018;1;20;1;0.0;0.0
2018;1;20;2;0.0;0.0
2018;1;20;3;0.0;0.0
2018;1;20;4;0.0;0.0
2018;1;20;5;0.0;0.0
2018;1;20;6;18.6;0.0
2018;1;20;7;108.0;0.0
2018;1;20;8;212.98;0.0
2018;1;20;9;309.48;0.0
2018;1;20;10;389.98;0.0
2018;1;20;11;381.18;0.0
2018;1;20;12;477.15;0.0
2018;1;20;13;475.73;0.0
2018;1;20;14;435.0;0.0
2018;1;20;15;400.1;0.0
2018;1;20;16;321.6;0.0
2018;1;20;17;218.23;0.0
2018;1;20;18;108.55;0.0
2018;1;20;19;28.52;0.0
2018;1;20;20;0.0;0.0
2018;1;20;21;0.0;0.0
2018;1;20;22;0.0;0.0
2018;1;20;23;0.0;0.0
2018;1;21;0;0.0;0.0
2018;1;21;1;0.0;0.01
2018;1;21;2;0.0;0.02
2018;1;21;3;0.0;0.02
2018;1;21;4;0.0;0.02
2018;1;21;5;0.0;0.01
2018;1;21;6;16.35;0.01
2018;1;21;7;103.25;0.01
2018;1;21;8;203.15;0.01
2018;1;21;9;303.73;0.0
2018;1;21;10;368.17;0.0
2018;1;21;11;413.17;0.0
2018;1;21;12;456.2;0.0
2018;1;21;13;447.52;0.0
2018;1;21;14;425.65;0.0
2018;1;21;15;361.38;0.0
2018;1;21;16;258.6;0.0
2018;1;21;17;177.05;0.0
2018;1;21;18;94.52;0.0
2018;1;21;19;20.58;0.0
2018;1;21;20;0.0;0.0
2018;1;21;21;0.0;0.0
2018;1;21;22;0.0;0.0
2018;1;21;23;0.0;0.0
2018;1;22;0;0.0;0.0
2018;1;22;1;0.0;0.0
2018;1;22;2;0.0;0.0
2018;1;22;3;0.0;0.0
2018;1;22;4;0.0;0.0
2018;1;22;5;0.0;0.0
2018;1;22;6;15.2;0.0
2018;1;22;7;96.98;0.0
2018;1;22;8;201.17;0.0
2018;1;22;9;291.52;0.0
2018;1;22;10;365.25;0.0
2018;1;22;11;397.67;0.0
2018;1;22;12;421.75;0.0
2018;1;22;13;409.38;0.0
2018;1;22;14;352.8;0.0
2018;1;22;15;271.08;0.0
2018;1;22;16;236.95;0.0
2018;1;22;17;172.92;0.0
2018;1;22;18;87.75;0.0
2018;1;22;19;19.65;0.0
2018;1;22;20;0.0;0.0
2018;1;22;21;0.0;0.0
2018;1;22;22;0.0;0.0
2018;1;22;23;0.0;0.0
2018;1;23;0;0.0;0.0
2018;1;23;1;0.0;0.0
2018;1;23;2;0.0;0.0
2018;1;23;3;0.0;0.0
2018;1;23;4;0.0;0.0
2018;1;23;5;0.0;0.0
2018;1;23;6;12.95;0.0
2018;1;23;7;87.1;0.0
2018;1;23;8;165.62;0.0
2018;1;23;9;214.8;2.3
2018;1;23;10;327.55;1.35
2018;1;23;11;377.88;1.09
2018;1;23;12;395.02;0.94
2018;1;23;13;429.0;1.07
2018;1;23;14;346.67;1.05
2018;1;23;15;261.98;1.33
2018;1;23;16;181.45;1.25
2018;1;23;17;139.83;0.62
2018;1;23;18;104.6;0.94
2018;1;23;19;22.73;0.05
2018;1;23;20;0.0;0.0
2018;1;23;21;0.0;0.02
2018;1;23;22;0.0;0.05
2018;1;23;23;0.0;0.17
2018;1;24;0;0.0;0.16
2018;1;24;1;0.0;0.05
2018;1;24;2;0.0;0.01
2018;1;24;3;0.0;0.01
2018;1;24;4;0.0;0.0
2018;1;24;5;0.0;0.0
2018;1;24;6;14.38;0.0
2018;1;24;7;95.38;0.0
2018;1;24;8;194.6;0.0
2018;1;24;9;296.2;0.0
2018;1;24;10;387.23;0.0
2018;1;24;11;448.85;0.0
2018;1;24;12;469.42;0.0
2018;1;24;13;477.45;0.0
2018;1;24;14;450.55;0.0
2018;1;24;15;381.0;0.0
2018;1;24;16;272.15;0.0
2018;1;24;17;178.1;0.0
2018;1;24;18;86.0;0.0
2018;1;24;19;22.65;0.0
2018;1;24;20;0.0;0.0
2018;1;24;21;0.0;0.0
2018;1;24;22;0.0;0.0
2018;1;24;23;0.0;0.0
2018;1;25;0;0.0;0.0
2018;1;25;1;0.0;0.0
2018;1;25;2;0.0;0.0
2018;1;25;3;0.0;0.0
2018;1;25;4;0.0;0.0
2018;1;25;5;0.0;0.0
2018;1;25;6;14.0;0.0
2018;1;25;7;82.35;0.0
2018;1;25;8;180.27;0.0
2018;1;25;9;280.58;0.0
2018;1;25;10;359.58;0.0
2018;1;25;11;425.65;0.0
2018;1;25;12;458.7;0.0
2018;1;25;13;481.83;0.0
2018;1;25;14;449.52;0.0
2018;1;25;15;401.9;0.0
2018;1;25;16;321.3;0.0
2018;1;25;17;212.35;0.0
2018;1;25;18;111.33;0.0
2018;1;25;19;22.67;0.0
2018;1;25;20;0.0;0.0
2018;1;25;21;0.0;0.0
2018;1;25;22;0.0;0.0
2018;1;25;23;0.0;0.0
2018;1;26;0;0.0;0.0
2018;1;26;1;0.0;0.0
2018;1;26;2;0.0;0.0
2018;1;26;3;0.0;0.0
2018;1;26;4;0.0;0.0
2018;1;26;5;0.0;0.0
2018;1;26;6;9.2;0.0
2018;1;26;7;79.23;0.0
2018;1;26;8;181.65;0.0
2018;1;26;9;281.92;0.0
2018;1;26;10;372.3;0.0
2018;1;26;11;428.38;0.0
2018;1;26;12;443.75;0.0
2018;1;26;13;457.52;0.0
2018;1;26;14;429.3;0.0
2018;1;26;15;379.85;0.0
2018;1;26;16;300.4;0.0
2018;1;26;17;202.73;0.0
2018;1;26;18;100.48;0.0
2018;1;26;19;19.4;0.0
2018;1;26;20;0.0;0.0
2018;1;26;21;0.0;0.0
2018;1;26;22;0.0;0.0
2018;1;26;23;0.0;0.0
2018;1;27;0;0.0;0.0
2018;1;27;1;0.0;0.0
2018;1;27;2;0.0;0.0
2018;1;27;3;0.0;0.0
2018;1;27;4;0.0;0.0
2018;1;27;5;0.0;0.0
2018;1;27;6;6.1;0.0
2018;1;27;7;37.4;0.0
2018;1;27;8;56.1;0.0
2018;1;27;9;133.02;0.0
2018;1;27;10;219.3;0.0
2018;1;27;11;335.83;0.01
2018;1;27;12;396.42;0.02
2018;1;27;13;374.1;0.02
2018;1;27;14;303.15;0.02
2018;1;27;15;297.0;0.01
2018;1;27;16;276.4;0.0
2018;1;27;17;176.25;0.01
2018;1;27;18;101.25;0.01
2018;1;27;19;20.83;0.0
2018;1;27;20;0.0;0.0
2018;1;27;21;0.0;0.0
2018;1;27;22;0.0;0.0
2018;1;27;23;0.0;0.0
2018;1;28;0;0.0;0.0
2018;1;28;1;0.0;0.0
2018;1;28;2;0.0;0.0
2018;1;28;3;0.0;0.0
2018;1;28;4;0.0;0.0
2018;1;28;5;0.0;0.0
2018;1;28;6;10.98;0.0
2018;1;28;7;88.95;0.0
2018;1;28;8;194.8;0.0
2018;1;28;9;293.65;0.0
2018;1;28;10;379.48;0.0
2018;1;28;11;438.85;0.0
2018;1;28;12;462.08;0.0
2018;1;28;13;466.38;0.0
2018;1;28;14;449.95;0.0
2018;1;28;15;393.45;0.0
2018;1;28;16;319.95;0.0
2018;1;28;17;224.85;0.0
2018;1;28;18;123.7;0.0
2018;1;28;19;26.5;0.0
2018;1;28;20;0.0;0.0
2018;1;28;21;0.0;0.0
2018;1;28;22;0.0;0.0
2018;1;28;23;0.0;0.0
2018;1;29;0;0.0;0.0
2018;1;29;1;0.0;0.0
2018;1;29;2;0.0;0.0
2018;1;29;3;0.0;0.0
2018;1;29;4;0.0;0.0
2018;1;29;5;0.0;0.0
2018;1;29;6;11.9;0.0
2018;1;29;7;97.88;0.0
2018;1;29;8;203.52;0.0
2018;1;29;9;302.42;0.0
2018;1;29;10;385.7;0.0
2018;1;29;11;442.62;0.0
2018;1;29;12;476.4;0.0
2018;1;29;13;478.45;0.0
2018;1;29;14;452.73;0.0
2018;1;29;15;402.1;0.0
2018;1;29;16;323.75;0.0
2018;1;29;17;228.2;0.0
2018;1;29;18;124.58;0.0
2018;1;29;19;26.67;0.0
2018;1;29;20;0.0;0.0
2018;1;29;21;0.0;0.0
2018;1;29;22;0.0;0.0
2018;1;29;23;0.0;0.0
2018;1;30;0;0.0;0.0
2018;1;30;1;0.0;0.0
2018;1;30;2;0.0;0.0
2018;1;30;3;0.0;0.0
2018;1;30;4;0.0;0.0
2018;1;30;5;0.0;0.0
2018;1;30;6;11.83;0.0
2018;1;30;7;99.38;0.0
2018;1;30;8;202.35;0.0
2018;1;30;9;300.88;0.0
2018;1;30;10;382.75;0.0
2018;1;30;11;444.23;0.0
2018;1;30;12;472.62;0.0
2018;1;30;13;474.45;0.0
2018;1;30;14;448.75;0.0
2018;1;30;15;393.83;0.0
2018;1;30;16;318.15;0.0
2018;1;30;17;221.23;0.0
2018;1;30;18;118.08;0.0
2018;1;30;19;23.73;0.0
2018;1;30;20;0.0;0.0
2018;1;30;21;0.0;0.0
2018;1;30;22;0.0;0.0
2018;1;30;23;0.0;0.0
2018;1;31;0;0.0;0.0
2018;1;31;1;0.0;0.0
2018;1;31;2;0.0;0.0
2018;1;31;3;0.0;0.0
2018;1;31;4;0.0;0.0
2018;1;31;5;0.0;0.0
2018;1;31;6;7.4;0.0
2018;1;31;7;61.08;0.0
2018;1;31;8;148.52;0.0
2018;1;31;9;244.33;0.0
2018;1;31;10;343.02;0.0
2018;1;31;11;410.1;0.0
2018;1;31;12;407.48;0.0
2018;1;31;13;422.48;0.0
2018;1;31;14;409.2;0.0
2018;1;31;15;353.55;0.0
2018;1;31;16;271.67;0.0
2018;1;31;17;183.95;0.0
2018;1;31;18;89.45;0.0
2018;1;31;19;18.52;0.0
2018;1;31;20;0.0;0.0
2018;1;31;21;0.0;0.0
2018;1;31;22;0.0;0.0
2018;1;31;23;0.0;0.0
2018;2;1;0;0.0;0.0
2018;2;1;1;0.0;0.0
2018;2;1;2;0.0;0.0
2018;2;1;3;0.0;0.0
2018;2;1;4;0.0;0.0
2018;2;1;5;0.0;0.0
2018;2;1;6;8.45;0.0
2018;2;1;7;79.33;0.0
2018;2;1;8;182.38;0.0
2018;2;1;9;282.35;0.0
2018;2;1;10;366.58;0.0
2018;2;1;11;427.35;0.0
2018;2;1;12;439.98;0.0
2018;2;1;13;441.23;0.0
2018;2;1;14;414.08;0.0
2018;2;1;15;363.5;0.0
2018;2;1;16;285.1;0.0
2018;2;1;17;190.4;0.0
2018;2;1;18;93.08;0.0
2018;2;1;19;16.98;0.0
2018;2;1;20;0.0;0.0
2018;2;1;21;0.0;0.0
2018;2;1;22;0.0;0.0
2018;2;1;23;0.0;0.0
2018;2;2;0;0.0;0.0
2018;2;2;1;0.0;0.0
2018;2;2;2;0.0;0.01
2018;2;2;3;0.0;0.0
2018;2;2;4;0.0;0.0
2018;2;2;5;0.0;0.0
2018;2;2;6;7.85;0.0
2018;2;2;7;77.05;0.0
2018;2;2;8;181.23;0.0
2018;2;2;9;281.45;0.0
2018;2;2;10;368.95;0.0
2018;2;2;11;428.25;0.0
2018;2;2;12;458.33;0.0
2018;2;2;13;444.55;0.0
2018;2;2;14;436.2;0.0
2018;2;2;15;385.7;0.0
2018;2;2;16;315.1;0.0
2018;2;2;17;218.48;0.0
2018;2;2;18;114.08;0.0
2018;2;2;19;21.5;0.0
2018;2;2;20;0.0;0.0
2018;2;2;21;0.0;0.0
2018;2;2;22;0.0;0.0
2018;2;2;23;0.0;0.0
2018;2;3;0;0.0;0.0
2018;2;3;1;0.0;0.0
2018;2;3;2;0.0;0.0
2018;2;3;3;0.0;0.0
2018;2;3;4;0.0;0.0
2018;2;3;5;0.0;0.0
2018;2;3;6;8.98;0.0
2018;2;3;7;91.23;0.0
2018;2;3;8;194.58;0.0
2018;2;3;9;293.6;0.0
2018;2;3;10;377.23;0.0
2018;2;3;11;432.2;0.0
